id,name,path_lower,path_display,is_folder,size,client_modified,rev
id:dbx_neil_share_folder,neil-climbing-share,/neil-climbing-share,/Neil-Climbing-Share,true,0,2026-09-15T10:00:00Z,
id:dbx_josie_share_folder,josie-climbing-share,/josie-climbing-share,/Josie-Climbing-Share,true,0,2026-09-20T14:30:00Z,
id:dbx_family_folder,family-photos-2026,/family-photos-2026,/Family-Photos-2026,true,0,2026-09-01T09:00:00Z,
id:dbx_file_01,kootenai-oct-2025-p1.jpg,/neil-climbing-share/kootenai-oct-2025/kootenai-oct-2025-p1.jpg,/Neil-Climbing-Share/Kootenai-Oct-2025/kootenai-oct-2025-p1.jpg,false,3244880,2025-10-17T11:20:00Z,0a1b2c3d4e5f0001
id:dbx_file_02,kootenai-oct-2025-p2.jpg,/neil-climbing-share/kootenai-oct-2025/kootenai-oct-2025-p2.jpg,/Neil-Climbing-Share/Kootenai-Oct-2025/kootenai-oct-2025-p2.jpg,false,2980440,2025-10-17T11:35:00Z,0a1b2c3d4e5f0002
id:dbx_file_03,kootenai-oct-2025-p3.jpg,/neil-climbing-share/kootenai-oct-2025/kootenai-oct-2025-p3.jpg,/Neil-Climbing-Share/Kootenai-Oct-2025/kootenai-oct-2025-p3.jpg,false,3112060,2025-10-17T12:10:00Z,0a1b2c3d4e5f0003
id:dbx_file_04,kootenai-creek-june2026-p1.jpg,/neil-climbing-share/kootenai-june-2026/kootenai-creek-june2026-p1.jpg,/Neil-Climbing-Share/Kootenai-June-2026/kootenai-creek-june2026-p1.jpg,false,3560120,2026-06-14T10:05:00Z,0a1b2c3d4e5f0004
id:dbx_file_05,kootenai-creek-june2026-p2.jpg,/neil-climbing-share/kootenai-june-2026/kootenai-creek-june2026-p2.jpg,/Neil-Climbing-Share/Kootenai-June-2026/kootenai-creek-june2026-p2.jpg,false,3288750,2026-06-14T10:30:00Z,0a1b2c3d4e5f0005
id:dbx_file_06,josie-kootenai-may26-01.jpg,/josie-climbing-share/kootenai-may-2026/josie-kootenai-may26-01.jpg,/Josie-Climbing-Share/Kootenai-May-2026/josie-kootenai-may26-01.jpg,false,2774330,2026-05-22T14:15:00Z,0a1b2c3d4e5f0006
id:dbx_file_07,josie-kootenai-may26-02.jpg,/josie-climbing-share/kootenai-may-2026/josie-kootenai-may26-02.jpg,/Josie-Climbing-Share/Kootenai-May-2026/josie-kootenai-may26-02.jpg,false,3044880,2026-05-22T14:40:00Z,0a1b2c3d4e5f0007
id:dbx_file_08,josie-kootenai-may26-03.jpg,/josie-climbing-share/kootenai-may-2026/josie-kootenai-may26-03.jpg,/Josie-Climbing-Share/Kootenai-May-2026/josie-kootenai-may26-03.jpg,false,2890120,2026-05-22T15:00:00Z,0a1b2c3d4e5f0008
id:dbx_file_09,highline-hike-apr26-p1.jpg,/neil-climbing-share/highline-apr-2026/highline-hike-apr26-p1.jpg,/Neil-Climbing-Share/Highline-Apr-2026/highline-hike-apr26-p1.jpg,false,3780550,2026-04-18T09:10:00Z,0a1b2c3d4e5f0009
id:dbx_file_10,highline-hike-apr26-p2.jpg,/neil-climbing-share/highline-apr-2026/highline-hike-apr26-p2.jpg,/Neil-Climbing-Share/Highline-Apr-2026/highline-hike-apr26-p2.jpg,false,3220880,2026-04-18T10:45:00Z,0a1b2c3d4e5f0010
id:dbx_file_11,emma-helena-aug26-p1.jpg,/family-photos-2026/helena-aug-2026/emma-helena-aug26-p1.jpg,/Family-Photos-2026/Helena-Aug-2026/emma-helena-aug26-p1.jpg,false,2640110,2026-08-31T16:20:00Z,0a1b2c3d4e5f0011
id:dbx_file_12,emma-helena-aug26-p2.jpg,/family-photos-2026/helena-aug-2026/emma-helena-aug26-p2.jpg,/Family-Photos-2026/Helena-Aug-2026/emma-helena-aug26-p2.jpg,false,2514780,2026-08-31T16:35:00Z,0a1b2c3d4e5f0012
id:dbx_file_13,emma-helena-aug26-p3.jpg,/family-photos-2026/helena-aug-2026/emma-helena-aug26-p3.jpg,/Family-Photos-2026/Helena-Aug-2026/emma-helena-aug26-p3.jpg,false,2780330,2026-08-31T17:00:00Z,0a1b2c3d4e5f0013
id:dbx_file_14,glen-fishing-jul26-kootenai-p1.jpg,/family-photos-2026/glen-fishing-jul-2026/glen-fishing-jul26-kootenai-p1.jpg,/Family-Photos-2026/Glen-Fishing-Jul-2026/glen-fishing-jul26-kootenai-p1.jpg,false,3448220,2026-07-18T14:10:00Z,0a1b2c3d4e5f0014
id:dbx_file_15,glen-fishing-jul26-kootenai-p2.jpg,/family-photos-2026/glen-fishing-jul-2026/glen-fishing-jul26-kootenai-p2.jpg,/Family-Photos-2026/Glen-Fishing-Jul-2026/glen-fishing-jul26-kootenai-p2.jpg,false,3190880,2026-07-18T15:30:00Z,0a1b2c3d4e5f0015
id:dbx_file_16,glacier-milkyway-aug26.jpg,/family-photos-2026/glacier-aug-2026/glacier-milkyway-aug26.jpg,/Family-Photos-2026/Glacier-Aug-2026/glacier-milkyway-aug26.jpg,false,4180440,2026-08-11T01:45:00Z,0a1b2c3d4e5f0016
id:dbx_file_17,avalanche-lake-sep25.jpg,/neil-climbing-share/avalanche-lake-sep-2025/avalanche-lake-sep25.jpg,/Neil-Climbing-Share/Avalanche-Lake-Sep-2025/avalanche-lake-sep25.jpg,false,3640770,2025-09-22T10:30:00Z,0a1b2c3d4e5f0017
id:dbx_file_18,cracker-lake-summit-2024.jpg,/neil-climbing-share/cracker-lake-2024/cracker-lake-summit-2024.jpg,/Neil-Climbing-Share/Cracker-Lake-2024/cracker-lake-summit-2024.jpg,false,3280550,2024-09-14T13:20:00Z,0a1b2c3d4e5f0018
