id,name,mime_type,parent_id,size,created_time,modified_time,owner_email,starred,trashed,web_view_link,description
1DriveFile01XLSX_form,file_01.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,1FolderClarkWestSection2026ABC,22840,2026-10-05T08:00:00Z,2026-10-05T16:30:00Z,clark.jessup@nps.gov,true,false,https://drive.google.com/file/d/1DriveFile01XLSX_form/view,trail condition assessment log template west section
1DriveFile02JPG_segA,file_02.jpg,image/jpeg,1FolderClarkWestSection2026ABC,3124890,2026-10-05T10:15:00Z,2026-10-05T10:15:00Z,clark.jessup@nps.gov,true,false,https://drive.google.com/file/d/1DriveFile02JPG_segA/view,trail surface with gravel displacement and shallow tread wear
1DriveFile03HEIC_segB,file_03.jpg,image/jpeg,1FolderClarkWestSection2026ABC,4287310,2026-10-05T10:32:00Z,2026-10-05T10:32:00Z,clark.jessup@nps.gov,true,false,https://drive.google.com/file/d/1DriveFile03HEIC_segB/view,trail drainage crossing with rut formation
1DriveFile04PDF_stdcurrent,file_04.pdf,application/pdf,1FolderClarkWestSection2026ABC,318440,2026-03-20T08:00:00Z,2026-03-20T08:00:00Z,clark.jessup@nps.gov,true,false,https://drive.google.com/file/d/1DriveFile04PDF_stdcurrent/view,trail resource condition assessment guide current standards
1DriveFile05PDF_stdref,file_05.pdf,application/pdf,1FolderClarkWestSection2026ABC,271900,2024-01-15T08:00:00Z,2024-01-15T08:00:00Z,clark.jessup@nps.gov,true,false,https://drive.google.com/file/d/1DriveFile05PDF_stdref/view,resource condition reference document
1DriveFile06DOCX_notes,file_06.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1FolderClarkWestSection2026ABC,58220,2026-10-05T11:45:00Z,2026-10-05T11:45:00Z,clark.jessup@nps.gov,true,false,https://drive.google.com/file/d/1DriveFile06DOCX_notes/view,personal field survey notes
1DriveFile07JPG_segC,file_07.jpg,image/jpeg,1FolderClarkWestSection2026ABC,2988120,2026-10-05T10:58:00Z,2026-10-05T10:58:00Z,clark.jessup@nps.gov,true,false,https://drive.google.com/file/d/1DriveFile07JPG_segC/view,trail surface with erosion features and channel formation
1DriveFileG08_ghost25,file_08.jpg,image/jpeg,1FolderClarkWestSection2026ABC,2850440,2025-10-10T09:20:00Z,2025-10-10T09:20:00Z,clark.jessup@nps.gov,false,false,https://drive.google.com/file/d/1DriveFileG08_ghost25/view,west section survey photo prior season October 2025
1DriveFileG09_ghost25,file_09.jpg,image/jpeg,1FolderClarkWestSection2026ABC,3102780,2025-10-10T10:15:00Z,2025-10-10T10:15:00Z,clark.jessup@nps.gov,false,false,https://drive.google.com/file/d/1DriveFileG09_ghost25/view,west section survey photo prior season October 2025
1DriveFile10_noise,file_10.pdf,application/pdf,1FolderClarkWestSection2026ABC,184330,2025-09-12T14:00:00Z,2025-09-12T14:00:00Z,clark.jessup@nps.gov,false,false,https://drive.google.com/file/d/1DriveFile10_noise/view,old trail condition report prior survey season different section
1DriveFile11_noise,file_11.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1FolderClarkWestSection2026ABC,67450,2023-11-08T10:30:00Z,2023-11-08T10:30:00Z,clark.jessup@nps.gov,false,false,https://drive.google.com/file/d/1DriveFile11_noise/view,Yellowstone survey field notes archive prior station
1DriveFileG12_ghost25,file_12.jpg,image/jpeg,1FolderClarkWestSection2026ABC,2644180,2025-10-11T08:45:00Z,2025-10-11T08:45:00Z,clark.jessup@nps.gov,false,false,https://drive.google.com/file/d/1DriveFileG12_ghost25/view,west section trail photo prior season field survey
1DriveFile13_noise,file_13.pdf,application/pdf,1FolderClarkWestSection2026ABC,2210890,2026-05-18T07:15:00Z,2026-05-18T07:15:00Z,clark.jessup@nps.gov,false,false,https://drive.google.com/file/d/1DriveFile13_noise/view,hiking trip notes Highline Trail spring personal
1DriveFileG14_ghost25,file_14.jpg,image/jpeg,1FolderClarkWestSection2026ABC,3024060,2025-10-09T14:30:00Z,2025-10-09T14:30:00Z,clark.jessup@nps.gov,false,false,https://drive.google.com/file/d/1DriveFileG14_ghost25/view,west section survey photo prior season October 2025
1DriveFile15_noise,file_15.jpg,image/jpeg,1FolderClarkWestSection2026ABC,3980220,2026-07-20T16:40:00Z,2026-07-20T16:40:00Z,clark.jessup@nps.gov,false,false,https://drive.google.com/file/d/1DriveFile15_noise/view,personal photo Glen fishing trip Kootenai River
1DriveFileG16_ghost25,file_16.jpg,image/jpeg,1FolderClarkWestSection2026ABC,2782340,2025-10-11T11:20:00Z,2025-10-11T11:20:00Z,clark.jessup@nps.gov,false,false,https://drive.google.com/file/d/1DriveFileG16_ghost25/view,west section survey trail photo prior season
1DriveFile17_noise,file_17.jpg,image/jpeg,1FolderClarkWestSection2026ABC,3245600,2026-08-14T19:30:00Z,2026-08-14T19:30:00Z,clark.jessup@nps.gov,false,false,https://drive.google.com/file/d/1DriveFile17_noise/view,cabin porch at dusk personal collection
1DriveFile18_noise,file_18.jpg,image/jpeg,1FolderClarkWestSection2026ABC,2890110,2026-09-01T13:20:00Z,2026-09-01T13:20:00Z,clark.jessup@nps.gov,false,false,https://drive.google.com/file/d/1DriveFile18_noise/view,family photo Helena visit Emma and kids
1DriveFile19_noise,file_19.jpg,image/jpeg,1FolderClarkWestSection2026ABC,3560780,2026-09-15T10:10:00Z,2026-09-15T10:10:00Z,clark.jessup@nps.gov,false,false,https://drive.google.com/file/d/1DriveFile19_noise/view,Kootenai Creek climbing photo personal archive
1DriveFile20_noise,file_20.jpg,image/jpeg,1FolderClarkWestSection2026ABC,2975430,2026-09-22T11:45:00Z,2026-09-22T11:45:00Z,clark.jessup@nps.gov,false,false,https://drive.google.com/file/d/1DriveFile20_noise/view,weekend climb route photo personal archive
1DriveFile21_noise,file_21.txt,text/plain,1FolderClarkWestSection2026ABC,4820,2026-09-25T16:00:00Z,2026-09-25T16:00:00Z,clark.jessup@nps.gov,false,false,https://drive.google.com/file/d/1DriveFile21_noise/view,climbing route notes Kootenai Creek approach
1DriveFile22_noise,file_22.txt,text/plain,1FolderClarkWestSection2026ABC,5340,2025-12-18T09:30:00Z,2025-12-18T09:30:00Z,clark.jessup@nps.gov,false,false,https://drive.google.com/file/d/1DriveFile22_noise/view,ski trail notes prior winter different area
1DriveFile23_noise,file_23.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,1FolderClarkWestSection2026ABC,18640,2026-06-30T08:15:00Z,2026-06-30T08:15:00Z,clark.jessup@nps.gov,false,false,https://drive.google.com/file/d/1DriveFile23_noise/view,gear replacement tracking spreadsheet prior season
1DriveFile24_noise,file_24.csv,text/csv,1FolderClarkWestSection2026ABC,3210,2026-09-30T20:00:00Z,2026-09-30T20:00:00Z,clark.jessup@nps.gov,false,false,https://drive.google.com/file/d/1DriveFile24_noise/view,personal budget actuals financial data
1DriveFile25_noise,file_25.txt,text/plain,1FolderClarkWestSection2026ABC,6890,2026-08-28T21:00:00Z,2026-08-28T21:00:00Z,clark.jessup@nps.gov,false,false,https://drive.google.com/file/d/1DriveFile25_noise/view,reading notes Braiding Sweetgrass personal
1DriveFile26_noise,file_26.pdf,application/pdf,1FolderClarkWestSection2026ABC,122440,2026-07-05T14:20:00Z,2026-07-05T14:20:00Z,clark.jessup@nps.gov,false,false,https://drive.google.com/file/d/1DriveFile26_noise/view,REI gear order confirmation archive
1DriveFile27_noise,file_27.txt,text/plain,1FolderClarkWestSection2026ABC,3120,2026-04-10T11:00:00Z,2026-04-10T11:00:00Z,clark.jessup@nps.gov,false,false,https://drive.google.com/file/d/1DriveFile27_noise/view,personal contact backup notes family and ranger circle
1DriveFile28_noise,file_28.jpg,image/jpeg,1FolderClarkWestSection2026ABC,3410220,2026-07-19T17:30:00Z,2026-07-19T17:30:00Z,clark.jessup@nps.gov,false,false,https://drive.google.com/file/d/1DriveFile28_noise/view,fishing trip with Glen personal photo prior summer
1DriveFile29_noise,file_29.pdf,application/pdf,1FolderClarkWestSection2026ABC,98760,2026-06-15T09:10:00Z,2026-06-15T09:10:00Z,clark.jessup@nps.gov,false,false,https://drive.google.com/file/d/1DriveFile29_noise/view,CPAP supply shipment tracking health logistics
1DriveFile30_noise,file_30.txt,text/plain,1FolderClarkWestSection2026ABC,1840,2026-10-03T18:20:00Z,2026-10-03T18:20:00Z,clark.jessup@nps.gov,false,false,https://drive.google.com/file/d/1DriveFile30_noise/view,grocery list meal prep weekend personal
1DriveFile31_noise,file_31.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1FolderClarkWestSection2026ABC,44320,2025-10-30T10:45:00Z,2025-10-30T10:45:00Z,clark.jessup@nps.gov,false,false,https://drive.google.com/file/d/1DriveFile31_noise/view,interpretive program outline draft prior season
1DriveFile32_noise,file_32.pdf,application/pdf,1FolderClarkWestSection2026ABC,1840500,2026-05-02T12:00:00Z,2026-05-02T12:00:00Z,clark.jessup@nps.gov,false,false,https://drive.google.com/file/d/1DriveFile32_noise/view,Glacier National Park visitor map export navigation reference
1DriveFile33_noise,file_33.jpg,image/jpeg,1FolderClarkWestSection2026ABC,4120880,2026-08-12T01:30:00Z,2026-08-12T01:30:00Z,clark.jessup@nps.gov,false,false,https://drive.google.com/file/d/1DriveFile33_noise/view,Milky Way photography cabin porch night personal
1DriveFile34_noise,file_34.jpg,image/jpeg,1FolderClarkWestSection2026ABC,2650340,2026-05-28T08:45:00Z,2026-05-28T08:45:00Z,clark.jessup@nps.gov,false,false,https://drive.google.com/file/d/1DriveFile34_noise/view,wildlife photo personal nature walk spring
1DriveFile35_noise,file_35.txt,text/plain,1FolderClarkWestSection2026ABC,7620,2026-09-14T15:30:00Z,2026-09-14T15:30:00Z,clark.jessup@nps.gov,false,false,https://drive.google.com/file/d/1DriveFile35_noise/view,hiking notes trail run summer Obsidian personal
1DriveFile36_noise,file_36.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,1FolderClarkWestSection2026ABC,21780,2026-01-08T09:00:00Z,2026-01-08T09:00:00Z,clark.jessup@nps.gov,false,false,https://drive.google.com/file/d/1DriveFile36_noise/view,personal budget spreadsheet prior year financial
1DriveFile37_noise,file_37.jpg,image/jpeg,1FolderClarkWestSection2026ABC,3085670,2025-12-27T13:20:00Z,2025-12-27T13:20:00Z,clark.jessup@nps.gov,false,false,https://drive.google.com/file/d/1DriveFile37_noise/view,cross-country ski trail photo winter personal recreation
1DriveFile38_noise,file_38.pdf,application/pdf,1FolderClarkWestSection2026ABC,88440,2026-08-20T10:15:00Z,2026-08-20T10:15:00Z,clark.jessup@nps.gov,false,false,https://drive.google.com/file/d/1DriveFile38_noise/view,Patagonia gear return label archive
1DriveFile39_noise,file_39.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1FolderClarkWestSection2026ABC,51230,2026-09-20T19:45:00Z,2026-09-20T19:45:00Z,clark.jessup@nps.gov,false,false,https://drive.google.com/file/d/1DriveFile39_noise/view,environmental philosophy reading notes personal
1DriveFile40_noise,file_40.jpg,image/jpeg,1FolderClarkWestSection2026ABC,2440780,2026-06-22T14:00:00Z,2026-06-22T14:00:00Z,clark.jessup@nps.gov,false,false,https://drive.google.com/file/d/1DriveFile40_noise/view,Aiden hiking day family photo with Clark and Emma
1DriveFile41_noise,file_41.jpg,image/jpeg,1FolderClarkWestSection2026ABC,1890540,2026-07-12T16:30:00Z,2026-07-12T16:30:00Z,clark.jessup@nps.gov,false,false,https://drive.google.com/file/d/1DriveFile41_noise/view,Sophie drawing family context photo
1DriveFile42_noise,file_42.txt,text/plain,1FolderClarkWestSection2026ABC,4130,2026-09-28T20:15:00Z,2026-09-28T20:15:00Z,clark.jessup@nps.gov,false,false,https://drive.google.com/file/d/1DriveFile42_noise/view,personal gear wishlist notes
1DriveFile43_noise,file_43.pdf,application/pdf,1FolderClarkWestSection2026ABC,109880,2026-07-16T12:30:00Z,2026-07-16T12:30:00Z,clark.jessup@nps.gov,false,false,https://drive.google.com/file/d/1DriveFile43_noise/view,Airbnb booking confirmation fishing trip with Glen
1DriveFile44_noise,file_44.jpg,image/jpeg,1FolderClarkWestSection2026ABC,3320550,2026-08-05T11:10:00Z,2026-08-05T11:10:00Z,clark.jessup@nps.gov,false,false,https://drive.google.com/file/d/1DriveFile44_noise/view,Glacier visitor area photo personal day no assessment
1DriveFile45_noise,file_45.jpg,image/jpeg,1FolderClarkWestSection2026ABC,4650120,2026-06-10T09:40:00Z,2026-06-06T09:40:00Z,clark.jessup@nps.gov,false,false,https://drive.google.com/file/d/1DriveFile45_noise/view,trail flora photo summer fieldwork botanical interest
1DriveFile46_noise,file_46.txt,text/plain,1FolderClarkWestSection2026ABC,8910,2026-09-05T22:10:00Z,2026-09-05T22:10:00Z,clark.jessup@nps.gov,false,false,https://drive.google.com/file/d/1DriveFile46_noise/view,podcast notes environmental backcountry series personal
1DriveFile47_noise,file_47.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1FolderClarkWestSection2026ABC,48770,2026-08-30T21:00:00Z,2026-08-30T21:00:00Z,clark.jessup@nps.gov,false,false,https://drive.google.com/file/d/1DriveFile47_noise/view,dark-sky photography notes Glacier Nikon Z6 II personal
1DriveFile48_noise,file_48.jpg,image/jpeg,1FolderClarkWestSection2026ABC,3110440,2026-09-07T17:20:00Z,2026-09-07T17:20:00Z,clark.jessup@nps.gov,false,false,https://drive.google.com/file/d/1DriveFile48_noise/view,North Fork road Tacoma drive personal scenic photo
1DriveFile49_noise,file_49.jpg,image/jpeg,1FolderClarkWestSection2026ABC,2770880,2026-06-28T10:55:00Z,2026-06-28T10:55:00Z,clark.jessup@nps.gov,false,false,https://drive.google.com/file/d/1DriveFile49_noise/view,Kootenai Creek trail junction photo prior hiking trip
1DriveFile50_noise,file_50.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,1FolderClarkWestSection2026ABC,16320,2026-09-29T19:40:00Z,2026-09-29T19:40:00Z,clark.jessup@nps.gov,false,false,https://drive.google.com/file/d/1DriveFile50_noise/view,gear wishlist with rough price ranges personal
1DriveFile51_noise,file_51.pdf,application/pdf,1FolderClarkWestSection2026ABC,166780,2024-03-15T08:00:00Z,2024-03-15T08:00:00Z,clark.jessup@nps.gov,false,false,https://drive.google.com/file/d/1DriveFile51_noise/view,interpretive program schedule Yellowstone era archived
